data,fold,depth,min_samples_leaf,min_samples_split,num_rows,num_targets,prediction_method,prediction_method_leaf,evaluation_method,mse,nof_infeasibilities,training_duration
class,1,15,5,10,500,3,optimal,medoid,mse,2433.90047466667,0,123.403367996216
class,1,15,5,10,500,3,optimal,optimal,mse,2094.66004401535,0,118.072061061859
class,1,15,5,10,500,3,mean,medoid,mse,2386.962379,0,8.97414088249207
class,1,15,5,10,500,3,mean,optimal,mse,2172.69569678686,0,8.96634101867676
class,1,15,5,10,500,3,medoid,medoid,mse,2139.514628,0,19.4702503681183
class,1,15,5,10,500,3,medoid,optimal,mse,2139.86023989317,0,19.8199853897095
class,2,15,5,10,500,3,sklearn,sklearn,sklearn,1864.1775348082,57,0.00251030921936
class,2,15,5,10,500,3,optimal,medoid,mse,2480.794844,0,106.05729174614
class,2,15,5,10,500,3,optimal,optimal,mse,2046.19417988409,0,107.722938537598
class,2,15,5,10,500,3,mean,medoid,mse,2283.049265,0,9.19918394088745
class,2,15,5,10,500,3,mean,optimal,mse,2125.54461805101,0,9.25541067123413
class,2,15,5,10,500,3,medoid,medoid,mse,2497.30577766667,0,18.8303110599518
class,2,15,5,10,500,3,medoid,optimal,mse,2111.05768727376,0,18.828311920166
class,3,15,5,10,500,3,sklearn,sklearn,sklearn,1755.18806848661,42,0.002099514007568
class,3,15,5,10,500,3,optimal,medoid,mse,2255.524708,0,107.224929094315
class,3,15,5,10,500,3,optimal,optimal,mse,1956.1634139342,0,107.817713975906
class,3,15,5,10,500,3,mean,medoid,mse,2588.23917066667,0,8.83285546302795
class,3,15,5,10,500,3,mean,optimal,mse,2231.95382759822,0,9.0182957649231
class,3,15,5,10,500,3,medoid,medoid,mse,2229.67743166667,0,20.7058825492859
class,3,15,5,10,500,3,medoid,optimal,mse,1987.5766510838,0,20.5100359916687
class,4,15,5,10,500,3,sklearn,sklearn,sklearn,1683.1016788332,52,0.002389430999756
class,4,15,5,10,500,3,optimal,medoid,mse,2169.25327966667,0,113.287739753723
class,4,15,5,10,500,3,optimal,optimal,mse,2032.73020463745,0,110.088907241821
class,4,15,5,10,500,3,mean,medoid,mse,2013.08335,0,9.49873948097229
class,4,15,5,10,500,3,mean,optimal,mse,2246.4158744367,0,9.39823389053345
class,4,15,5,10,500,3,medoid,medoid,mse,1880.01589466667,0,29.9451174736023
class,4,15,5,10,500,3,medoid,optimal,mse,2022.25203356334,0,29.8521018028259
class,0,15,5,10,500,5,sklearn,sklearn,sklearn,1040.30777103075,53,0.002282619476318
class,0,15,5,10,500,5,optimal,medoid,mse,1530.6350264,0,231.551706552505
class,0,15,5,10,500,5,optimal,optimal,mse,1290.09217977935,0,558.160294532776
class,0,15,5,10,500,5,mean,medoid,mse,1478.380708,0,29.7609257698059
class,0,15,5,10,500,5,mean,optimal,mse,1309.59886731722,0,29.3280584812164
class,0,15,5,10,500,5,medoid,medoid,mse,1339.057973,0,51.2423412799835
class,0,15,5,10,500,5,medoid,optimal,mse,1195.56944274855,0,40.3138527870178
class,1,15,5,10,500,5,sklearn,sklearn,sklearn,1029.10409923931,45,0.002569437026978
class,1,15,5,10,500,5,optimal,medoid,mse,1575.7801068,0,169.102780103683
class,1,15,5,10,500,5,optimal,optimal,mse,1343.59790801059,0,167.247044086456
class,1,15,5,10,500,5,mean,medoid,mse,1319.6271276,0,9.32372379302979
class,1,15,5,10,500,5,mean,optimal,mse,1176.95715158297,0,9.7743775844574
class,1,15,5,10,500,5,medoid,medoid,mse,1396.5975134,0,23.3244659900665
class,1,15,5,10,500,5,medoid,optimal,mse,1265.13030159213,0,23.676703453064
class,2,15,5,10,500,5,sklearn,sklearn,sklearn,1007.31457727417,41,0.002298593521118
class,2,15,5,10,500,5,optimal,medoid,mse,1495.4964432,0,185.021678924561
class,2,15,5,10,500,5,optimal,optimal,mse,1260.00785775439,0,186.63894367218
class,2,15,5,10,500,5,mean,medoid,mse,1545.815175,0,9.22824096679688
class,2,15,5,10,500,5,mean,optimal,mse,1245.61141018269,0,8.82558059692383
class,2,15,5,10,500,5,medoid,medoid,mse,1369.9878464,0,24.8014333248138
