data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,mse gap,nof_infeasibilities,training_duration,use_brute_force,use_hashmaps,use_initial_solution
hts_df_size_500_seed_4_v2,3,5,5,10,mean,optimal,mse,7.186153846153845,0.4333606365582197,0,1.1827101707458496,True,True,False
hts_df_size_500_seed_4_v2,3,5,5,10,optimal,optimal,mse,6.967692307692307,0.38978598222482924,0,120.92938041687012,True,True,False
hts_df_size_500_seed_4_v2,4,5,5,10,sklearn,sklearn,sklearn,4.753001401911466,0.0,100,0.0021958351135253906,,,
hts_df_size_500_seed_4_v2,4,5,5,10,mean,optimal,mse,6.907692307692307,0.4533326888804011,0,1.167649507522583,True,True,False
hts_df_size_500_seed_4_v2,4,5,5,10,optimal,optimal,mse,6.575384615384615,0.3834173523997404,0,103.39274621009827,True,True,False
hts_df_size_500_seed_0_v2,0,7,5,10,sklearn,sklearn,sklearn,5.473819979586689,0.0,100,0.0,,,
hts_df_size_500_seed_0_v2,0,7,5,10,mean,optimal,mse,7.459999999999999,0.362850811283582,0,1.9334986209869385,True,True,False
hts_df_size_500_seed_0_v2,0,7,5,10,optimal,optimal,mse,7.332307692307692,0.33952298753919413,0,144.51459789276123,True,True,False
hts_df_size_500_seed_0_v2,1,7,5,10,sklearn,sklearn,sklearn,5.496345016157307,0.0,100,0.004619121551513672,,,
hts_df_size_500_seed_0_v2,1,7,5,10,mean,optimal,mse,7.378461538461538,0.3424305637239793,0,1.880145788192749,True,True,False
hts_df_size_500_seed_0_v2,1,7,5,10,optimal,optimal,mse,7.827692307692307,0.42416320021426324,0,143.4135880470276,True,True,False
hts_df_size_500_seed_0_v2,2,7,5,10,sklearn,sklearn,sklearn,5.358827347513543,0.0,100,0.0041370391845703125,,,
hts_df_size_500_seed_0_v2,2,7,5,10,mean,optimal,mse,7.150769230769232,0.3343906730055665,0,2.0133817195892334,True,True,False
hts_df_size_500_seed_0_v2,2,7,5,10,optimal,optimal,mse,7.619999999999999,0.42195288369117245,0,145.3926854133606,True,True,False
hts_df_size_500_seed_0_v2,3,7,5,10,sklearn,sklearn,sklearn,5.429009608915427,0.0,100,0.0,,,
hts_df_size_500_seed_0_v2,3,7,5,10,mean,optimal,mse,7.603076923076923,0.40045376058853893,0,2.300161361694336,True,True,False
hts_df_size_500_seed_0_v2,3,7,5,10,optimal,optimal,mse,7.44153846153846,0.37069907728991536,0,154.4528181552887,True,True,False
hts_df_size_500_seed_0_v2,4,7,5,10,sklearn,sklearn,sklearn,5.643825001036328,0.0,100,0.0,,,
